 Produto interno bruto per capita - 2010 a 2013, referęncia 2010 - Săo Paulo
PIB per capita por Município
Período:2013
"Município";"PIB_per_capita"
"354660 SANTA FE DO SUL";25311,95
"354670 SANTA GERTRUDES";56511,20
"354680 SANTA ISABEL";24355,09
"354690 SANTA LUCIA";11170,90
"354700 SANTA MARIA DA SERRA";23525,98
"354710 SANTA MERCEDES";18377,61
"354720 SANTANA DA PONTE PENSA";14326,89
"354730 SANTANA DE PARNAIBA";60939,87
"354740 SANTA RITA D'OESTE";15691,96
"354750 SANTA RITA DO PASSA QUATRO";19841,63
"354760 SANTA ROSA DE VITERBO";27766,96
"354765 SANTA SALETE";12420,87
"354770 SANTO ANASTACIO";14371,02
"354780 SANTO ANDRE";35503,52
"354790 SANTO ANTONIO DA ALEGRIA";20851,21
"354800 SANTO ANTONIO DE POSSE";31289,18
"354805 SANTO ANTONIO DO ARACANGUA";21602,96
"354810 SANTO ANTONIO DO JARDIM";17823,90
"354820 SANTO ANTONIO DO PINHAL";11642,41
"354830 SANTO EXPEDITO";9288,24
"354840 SANTOPOLIS DO AGUAPEI";12131,62
"354850 SANTOS";44478,22
"354860 SAO BENTO DO SAPUCAI";13556,12
"354870 SAO BERNARDO DO CAMPO";59149,80
"354880 SAO CAETANO DO SUL";97889,94
"354890 SAO CARLOS";37652,04
"354900 SAO FRANCISCO";11399,76
"354910 SAO JOAO DA BOA VISTA";26299,21
"354920 SAO JOAO DAS DUAS PONTES";10340,86
"354925 SAO JOAO DE IRACEMA";18258,25
"354930 SAO JOAO DO PAU D'ALHO";19020,10
"354940 SAO JOAQUIM DA BARRA";26196,32
"354950 SAO JOSE DA BELA VISTA";12551,60
"354960 SAO JOSE DO BARREIRO";9992,47
"354970 SAO JOSE DO RIO PARDO";25691,17
"354980 SAO JOSE DO RIO PRETO";30548,82
"354990 SAO JOSE DOS CAMPOS";40699,31
"354995 SAO LOURENCO DA SERRA";14826,63
"355000 SAO LUIS DO PARAITINGA";12593,94
"355010 SAO MANUEL";23070,26
"355020 SAO MIGUEL ARCANJO";14890,37
"355030 SAO PAULO";48275,45
"355040 SAO PEDRO";14943,55
"355050 SAO PEDRO DO TURVO";18562,90
"355060 SAO ROQUE";23714,89
"355070 SAO SEBASTIAO";71810,12
"355080 SAO SEBASTIAO DA GRAMA";17183,52
"355090 SAO SIMAO";23630,43
"355100 SAO VICENTE";12516,85
"355110 SARAPUI";11570,20
"355120 SARUTAIA";11268,06
"355130 SEBASTIANOPOLIS DO SUL";71138,17
"355140 SERRA AZUL";10598,34
"355150 SERRANA";16333,46
"355160 SERRA NEGRA";18421,25
"355170 SERTAOZINHO";37289,82
"355180 SETE BARRAS";12393,53
"355190 SEVERINIA";15470,22
"355200 SILVEIRAS";8609,87
"355210 SOCORRO";14491,52
"355220 SOROCABA";42764,72
"355230 SUD MENNUCCI";24897,83
"355240 SUMARE";43810,60
"355250 SUZANO";32193,16
"355255 SUZANAPOLIS";28654,07
"355260 TABAPUA";18041,85
"355270 TABATINGA";10952,00
"355280 TABOAO DA SERRA";27899,50
"355290 TACIBA";31039,37
"355300 TAGUAI";14355,90
"355310 TAIACU";10616,14
"355320 TAIUVA";14064,44
"355330 TAMBAU";19633,67
"355340 TANABI";28714,71
"355350 TAPIRAI";14536,36
"355360 TAPIRATIBA";17512,65
"355365 TAQUARAL";7079,60
"355370 TAQUARITINGA";18337,19
"355380 TAQUARITUBA";19516,97
"355385 TAQUARIVAI";24135,15
"355390 TARABAI";10874,20
"355395 TARUMA";58084,14
"355400 TATUI";29292,24
"355410 TAUBATE";50563,09
"355420 TEJUPA";12094,78
"355430 TEODORO SAMPAIO";19432,44
"355440 TERRA ROXA";12132,04
"355450 TIETE";38949,16
"355460 TIMBURI";11883,98
"355465 TORRE DE PEDRA";10040,78
"355470 TORRINHA";15221,54
"355475 TRABIJU";20885,52
"355480 TREMEMBE";12056,51
"355490 TRES FRONTEIRAS";12062,24
"355495 TUIUTI";16221,78
"355500 TUPA";21377,80
"355510 TUPI PAULISTA";15335,54
"355520 TURIUBA";15396,73
"355530 TURMALINA";16103,07
"355535 UBARANA";32099,98
"355540 UBATUBA";17277,06
"355550 UBIRAJARA";10599,92
"355560 UCHOA";24264,36
"355570 UNIAO PAULISTA";22916,47
"355580 URANIA";16908,71
"355590 URU";16803,11
"355600 URUPES";17894,95
"355610 VALENTIM GENTIL";22796,39
"355620 VALINHOS";42736,76
"355630 VALPARAISO";27434,31
"355635 VARGEM";9823,82
"355640 VARGEM GRANDE DO SUL";17998,39
"355645 VARGEM GRANDE PAULISTA";31841,52
"355650 VARZEA PAULISTA";20744,70
"355660 VERA CRUZ";9637,26
"355670 VINHEDO";102187,18
"355680 VIRADOURO";13456,57
